DIA	MES	ANIO	T_MED_A	T_MAX_A	T_MIN_A	HR_MED	PRECIP	TANQUEA	VIENTO	HELIOF	PENMAN
30	4	2000	17.6	21.5	15.5	97.0	35.6	2.7	105.7	0.0	0.8

1	5	2000	16.3	22.4	9.7	98.0	17.2	0.8	205.4	0.2	0.8

2	5	2000	13.5	17.5	10.5	72.0	33.0	7.4	216.0	8.6	2.0

3	5	2000	14.1	15.9	10.4	74.0	0.0	0.4	248.8	0.8	2.1

4	5	2000	12.0	14.5	9.8	96.0	1.0	0.0	332.1	0.0	0.8

5	5	2000	10.4	12.5	9.5	98.0	23.8	0.3	637.9	0.0	0.7

6	5	2000	11.5	15.3	9.5	80.0	88.5	2.6	223.5	10.6	1.4

7	5	2000	11.9	15.1	8.3	90.0	0.0	2.7	59.1	6.0	0.8

8	5	2000	12.7	17.0	8.9	83.0	0.0	1.3	99.2	9.8	1.1

9	5	2000	13.6	19.3	8.5	85.0	0.0	3.3	117.0	9.5	1.1

10	5	2000	12.3	15.3	8.8	82.0	0.0	3.0	103.1	9.6	1.0

11	5	2000	12.9	18.1	7.9	80.0	0.0	2.2	159.3	4.4	1.3

12	5	2000	14.8	20.5	11.5	86.0	0.0	2.1	65.8	8.2	1.0

13	5	2000	15.0	20.1	11.7	93.0	0.0	1.0	166.8	7.2	0.9

14	5	2000	15.7	16.5	14.5	99.0	31.7	0.2	245.9	0.0	0.6

15	5	2000	15.4	15.9	14.9	94.0	34.2	0.0	345.5	0.0	1.0

16	5	2000	15.2	16.3	14.3	95.0	58.4	1.4	548.0	0.0	1.0

17	5	2000	14.6	15.7	13.1	93.0	27.2	2.7	271.8	0.0	0.9

18	5	2000	13.9	16.2	12.7	88.0	1.5	2.3	104.2	6.8	0.9

19	5	2000	14.1	17.2	11.8	80.0	0.0	1.5	83.3	3.1	1.1

20	5	2000	13.6	16.6	10.0	75.0	0.0	1.7	128.1	3.0	1.4

21	5	2000	13.5	19.2	8.0	76.0	0.0	2.2	107.5	9.1	1.1

22	5	2000	14.5	20.0	8.4	72.0	0.0	1.9	103.0	9.2	1.2

23	5	2000	16.2	22.3	11.4	79.0	0.0	3.7	144.0	9.2	1.3

24	5	2000	16.5	21.1	11.3	79.0	0.0	4.5	231.7	7.9	1.6

25	5	2000	15.4	16.2	14.0	95.0	20.1	0.6	184.7	0.0	0.7

26	5	2000	13.5	17.6	9.4	78.0	18.8	3.4	258.6	9.6	1.4

27	5	2000	11.9	15.8	8.0	78.0	0.0	2.5	76.3	9.5	0.7

28	5	2000	12.3	18.6	6.0	84.0	0.0	1.3	87.2	9.4	0.6

29	5	2000	13.4	17.5	9.4	84.0	0.0	2.0	224.9	1.9	1.2

30	5	2000	12.2	13.6	11.1	91.0	0.0	1.0	319.7	3.0	0.9

31	5	2000	11.1	12.2	9.7	80.0	0.0	2.6	407.6	0.1	1.8

1	6	2000	8.0	12.8	4.6	75.0	0.0	1.5	82.0	7.2	0.7

2	6	2000	9.1	15.0	3.8	77.0	0.0	1.3	263.5	9.5	1.0

3	6	2000	12.3	18.4	6.2	76.0	0.0	2.2	266.8	9.5	1.3

4	6	2000	16.9	21.9	12.0	79.0	0.0	3.1	208.3	9.5	1.3

5	6	2000	17.1	19.9	13.7	93.0	0.0	0.8	142.5	0.3	0.8

6	6	2000	14.1	16.2	12.1	86.0	0.3	1.3	263.7	2.6	1.2

7	6	2000	14.2	15.5	11.9	97.0	2.0	0.2	131.9	0.0	0.5

8	6	2000	13.9	14.5	12.8	100.0	19.9	0.1	39.5	0.0	0.4

9	6	2000	15.4	18.5	13.5	93.0	0.2	1.6	117.5	0.0	0.7

10	6	2000	14.0	15.8	12.5	96.0	1.7	0.9	137.3	2.1	0.5

11	6	2000	13.3	16.5	11.4	87.0	2.6	2.3	79.1	3.4	0.7

12	6	2000	14.5	19.1	8.0	87.0	0.0	0.5	295.3	5.8	1.1

13	6	2000	19.6	22.1	17.0	90.0	3.7	1.8	380.0	1.9	1.4

14	6	2000	21.3	24.1	18.1	85.0	0.0	3.6	264.1	4.2	1.6

15	6	2000	14.3	21.3	9.5	95.0	6.7	0.9	459.7	0.0	0.8

16	6	2000	9.2	11.1	7.1	79.0	30.6	3.5	198.4	6.8	0.9

17	6	2000	7.7	9.5	4.3	80.0	0.0	0.7	97.9	4.1	0.7

18	6	2000	9.1	9.9	6.5	92.0	0.3	0.9	150.9	0.0	0.6

19	6	2000	9.3	11.5	6.9	87.0	1.6	1.9	387.8	5.9	0.9

20	6	2000	8.2	10.7	5.7	87.0	0.0	1.0	210.5	4.4	0.6

21	6	2000	7.3	12.1	3.6	84.0	0.0	1.2	125.6	7.9	0.4

22	6	2000	9.1	14.9	3.8	83.0	0.0	1.2	256.7	8.0	0.7

23	6	2000	12.7	16.9	6.6	87.0	0.0	3.9	198.8	1.5	0.9

24	6	2000	14.5	17.1	12.3	95.0	18.5	1.6	442.2	0.8	0.8

25	6	2000	11.6	14.3	7.6	89.0	13.2	0.2	130.8	5.8	0.5

26	6	2000	9.4	14.9	4.9	91.0	0.0	1.7	98.6	5.1	0.4

27	6	2000	10.7	15.5	4.2	89.0	0.0	0.7	297.1	3.4	0.8

28	6	2000	12.7	15.0	7.7	97.0	0.3	0.8	166.2	0.0	0.5

29	6	2000	10.1	15.3	6.2	93.0	0.1	1.5	87.5	8.2	0.2

30	6	2000	10.5	16.6	4.9	81.0	0.0	0.6	331.9	8.0	1.1

1	7	2000	11.5	12.8	10.3	94.0	0.0	0.9	83.5	0.3	0.5

2	7	2000	10.0	12.3	6.8	64.0	1.0	5.0	309.4	7.4	1.9

3	7	2000	10.0	15.1	4.5	61.0	0.0	2.3	372.9	8.5	2.3

4	7	2000	11.0	15.9	7.5	64.0	0.0	2.6	265.2	6.7	1.9

5	7	2000	13.1	18.7	7.9	80.0	0.0	1.2	220.8	8.1	1.1

6	7	2000	18.4	23.2	14.9	89.0	0.0	1.6	170.8	1.7	1.0

7	7	2000	13.1	18.2	10.7	96.0	0.5	0.8	389.5	0.0	0.7

8	7	2000	9.2	10.6	7.6	96.0	15.2	1.1	448.4	0.0	0.7

9	7	2000	7.7	9.0	6.7	94.0	7.8	1.8	359.6	0.0	0.7

10	7	2000	7.4	8.5	6.6	94.0	20.5	1.7	459.6	0.0	0.7

11	7	2000	6.1	6.0	5.7	95.0	42.5	0.8	546.4	0.0	0.7

12	7	2000	6.3	7.8	4.2	91.0	22.7	0.8	347.4	0.0	0.8

13	7	2000	4.2	6.6	1.5	85.0	0.8	1.6	320.7	7.0	0.7

14	7	2000	4.2	9.4	-0.4	83.0	0.0	2.0	362.5	6.9	0.8

15	7	2000	4.9	6.2	3.2	83.0	0.0	1.0	579.2	0.0	1.5

16	7	2000	4.6	8.2	1.4	84.0	0.0	1.1	182.3	8.7	0.5

17	7	2000	5.6	10.6	-0.8	79.0	0.0	2.3	294.0	6.6	1.0

18	7	2000	6.9	8.4	4.0	70.0	0.0	3.4	522.6	9.3	2.1

19	7	2000	5.8	8.6	3.9	80.0	0.0	1.9	284.6	4.0	1.1

20	7	2000	8.3	14.4	1.8	70.0	0.0	2.8	318.2	5.7	1.7

21	7	2000	9.2	15.0	6.2	82.0	0.0	1.6	178.7	8.8	0.8

22	7	2000	6.1	8.4	3.2	88.0	0.0	2.4	314.4	6.9	0.7

23	7	2000	5.8	11.4	0.2	71.0	0.0	2.5	264.5	9.4	1.2

24	7	2000	9.3	16.3	2.8	66.0	0.0	3.4	213.3	6.3	1.6

25	7	2000	10.1	14.5	5.9	60.0	0.0	3.0	95.0	9.7	1.2

26	7	2000	9.2	15.8	3.3	68.0	0.0	1.8	159.5	9.7	1.2

27	7	2000	8.9	17.2	3.0	80.0	0.0	2.0	73.4	9.2	0.7

28	7	2000	7.3	9.4	4.0	89.0	0.0	1.0	147.3	0.0	0.8

29	7	2000	7.7	10.2	5.1	95.0	0.0	0.4	132.7	0.0	0.6

30	7	2000	9.2	11.2	7.5	97.0	0.0	0.5	94.7	0.5	0.5

31	7	2000	9.9	14.2	4.8	94.0	0.0	1.1	248.4	2.4	0.7

1	8	2000	12.8	18.0	9.2	88.0	0.0	2.4	82.6	6.4	0.8

2	8	2000	9.3	13.2	5.3	87.0	0.0	2.3	62.0	7.4	0.7

3	8	2000	7.4	13.4	2.8	59.0	0.0	2.5	66.7	10.0	1.0

4	8	2000	6.9	13.8	0.6	56.0	0.0	3.9	310.0	9.8	2.2

5	8	2000	10.8	16.6	7.0	67.0	0.8	2.8	190.4	9.8	1.7

6	8	2000	13.8	20.4	8.0	78.0	0.0	1.8	161.1	6.1	1.5

7	8	2000	16.2	21.7	12.2	82.0	0.0	2.8	104.5	5.8	1.3

8	8	2000	12.2	17.3	8.0	80.0	0.0	1.7	100.0	5.4	1.2

9	8	2000	8.6	14.6	5.5	77.0	3.3	2.1	86.8	10.5	0.9

10	8	2000	7.5	12.0	3.3	75.0	0.0	3.2	136.4	9.5	1.1

11	8	2000	6.0	9.3	2.4	75.0	0.0	1.4	68.3	9.8	0.9

12	8	2000	6.5	11.9	1.5	76.0	0.0	3.6	129.4	5.9	1.1

13	8	2000	9.6	16.3	2.0	73.0	0.0	2.7	123.6	9.4	1.3

14	8	2000	11.0	12.3	9.6	92.0	0.0	0.9	174.0	0.0	0.9

15	8	2000	12.1	17.9	6.3	78.0	9.0	2.1	170.1	9.9	1.5

16	8	2000	12.6	19.5	6.0	72.0	0.0	4.4	272.0	9.8	2.2

17	8	2000	14.0	19.9	9.0	65.0	0.0	3.4	105.2	9.9	1.9

18	8	2000	15.0	21.8	9.8	68.0	0.0	4.3	291.5	9.1	2.8

19	8	2000	15.9	22.7	10.1	75.0	0.0	1.9	198.2	6.2	2.1

20	8	2000	13.6	16.0	12.2	97.0	2.1	0.4	133.4	0.0	0.8

21	8	2000	15.6	16.6	14.5	95.0	4.9	4.0	170.8	0.0	0.9

22	8	2000	16.7	21.4	14.0	93.0	13.7	0.6	215.8	2.2	1.3

23	8	2000	12.8	14.5	11.6	100.0	1.2	0.6	256.5	0.0	0.7

24	8	2000	11.9	13.2	11.2	100.0	0.3	0.7	184.5	0.0	0.7

25	8	2000	10.6	12.0	9.0	95.0	0.0	0.3	181.6	0.0	0.9

26	8	2000	10.9	16.4	7.7	77.0	0.0	2.8	141.3	10.5	1.8

27	8	2000	9.3	14.9	4.8	81.0	0.2	2.5	358.3	1.3	1.8

28	8	2000	7.2	12.6	2.3	59.0	4.1	3.7	406.9	7.8	3.1

29	8	2000	9.6	14.1	4.2	60.0	0.0	5.1	268.7	10.6	2.7

30	8	2000	11.3	19.7	2.7	62.0	0.0	4.1	490.6	8.8	3.9

31	8	2000	8.0	11.8	5.5	81.0	4.4	1.4	218.6	4.2	1.5

1	9	2000	8.3	15.2	2.5	67.0	0.0	2.5	98.0	10.5	1.7

2	9	2000	10.3	17.4	4.2	65.0	0.0	2.5	85.8	10.6	1.9

